latitude,longitude
38.895111799999995,-77.0363658
33.800745,-84.41051999999999
45.5234515,-122.6762071
40.764462,-111.90456499999999
33.4483771,-112.07403729999999
32.2217429,-110.926479
40.65,-73.95
33.4483771,-112.07403729999999
33.414768,-111.90930949999999
42.358430799999994,-71.05977320000001
33.4483771,-112.07403729999999
33.414768,-111.90930949999999
33.4483771,-112.07403729999999
33.2486638,-111.6342993
32.840677500000005,-117.25879350000001
34.0522342,-118.24368490000002
33.414768,-111.90930949999999
33.4483771,-112.07403729999999
34.483901,-114.32245479999999
34.048928100000005,-111.0937311
32.7153292,-117.1572551
33.4483771,-112.07403729999999
38.895111799999995,-77.0363658
33.7458511,-117.82616599999999
34.0961111,-118.10583329999999
34.0522342,-118.24368490000002
37.629349,-122.40008700000001
4.5980555999999995,-74.0758333
33.8041667,-118.15805559999998
40.735657,-74.1723667
41.8781136,-87.62979820000001
41.8781136,-87.62979820000001
21.3866667,-158.00916669999998
40.551216499999995,-85.60236429999999
40.7143528,-74.00597309999999
40.7143528,-74.00597309999999
43.6525,-79.3816667
26.9102778,-101.42222220000001
33.4483771,-112.07403729999999
33.3061605,-111.8412502
33.4483771,-112.07403729999999
41.92114229999999,-87.80922659999999
33.4483771,-112.07403729999999
33.3061605,-111.8412502
34.0028786,-84.1446376
36.114646,-115.172816
38.916343,-94.383516
38.6581722,-77.24970490000001
36.114646,-115.172816
40.703546,-73.802032
36.114646,-115.172816
36.114646,-115.172816
37.7749295,-122.4194155
45.5234515,-122.6762071
38.4404674,-122.7144314
33.6411316,-117.9186689
44.9799654,-93.26383609999999
41.8781136,-87.62979820000001
41.600544799999994,-93.6091064
37.441883399999995,-122.14301950000001
38.4404674,-122.7144314
37.2638324,-122.0230146
45.6387281,-122.6614861
33.058106300000006,-112.04764229999999
41.8781136,-87.62979820000001
44.9541667,-93.1138889
38.5787965,-122.5797054
33.4483771,-112.07403729999999
44.9799654,-93.26383609999999
33.4483771,-112.07403729999999
33.4483771,-112.07403729999999
40.345,-74.184444
40.732960600000006,-73.9884556
40.0455917,-86.0085955
40.579531700000004,-74.1502007
33.4483771,-112.07403729999999
33.4483771,-112.07403729999999
33.4483771,-112.07403729999999
33.4483771,-112.07403729999999
33.4483771,-112.07403729999999
35.99403289999999,-78.898619
33.3061605,-111.8412502
40.4258686,-86.9080655
48.759552899999996,-122.4882249
32.735687,-97.10806559999999
42.372639899999996,-71.10965279999999
41.8781136,-87.62979820000001
35.410694,-80.8428504
33.4483771,-112.07403729999999
32.2217429,-110.926479
33.4483771,-112.07403729999999
33.4483771,-112.07403729999999
38.752123499999996,-121.28800590000002
33.3061605,-111.8412502
31.957581800000003,-110.955646
38.804835499999996,-77.0469214
35.2827524,-120.6596156
41.8781136,-87.62979820000001
36.114646,-115.172816
40.7143528,-74.00597309999999
40.7439905,-74.0323626
33.4483771,-112.07403729999999
41.8781136,-87.62979820000001
32.7153292,-117.1572551
42.069750899999995,-87.7878408
40.8517662,-74.229035
39.0638705,-108.5506486
35.8456213,-86.39027
33.9462125,-84.3346473
30.267153000000004,-97.7430608
43.5867164,-116.19565559999998
30.267153000000004,-97.7430608
34.01945429999999,-118.4911912
40.7143528,-74.00597309999999
41.8781136,-87.62979820000001
41.8781136,-87.62979820000001
39.4014955,-76.6019125
38.895111799999995,-77.0363658
36.114646,-115.172816
41.8781136,-87.62979820000001
33.4483771,-112.07403729999999
40.740389,-73.983385
36.778261,-119.4179324
40.7143528,-74.00597309999999
45.5392862,-122.38731329999999
32.1574351,-82.907123
37.09024,-95.712891
32.4609764,-84.9877094
33.4483771,-112.07403729999999
32.868160100000004,-84.6299029
33.414768,-111.90930949999999
33.3528264,-111.789027
33.660297,-117.99922649999999
37.7141454,-122.25
43.5867164,-116.19565559999998
35.1495343,-90.0489801
38.5815719,-121.49439960000001
30.267153000000004,-97.7430608
34.0922335,-117.435048
33.660297,-117.99922649999999
35.0768141,-80.6692352
49.248523,-123.1088
47.6062095,-122.33207079999998
37.60165,-122.016072
41.5161162,-82.9965425
40.706212799999996,-73.6187397
40.65760220000001,-73.58318349999999
53.344104,-6.2674937
41.45704179999999,-72.8231552
40.2115109,-74.6796651
30.267153000000004,-97.7430608
36.1613005,-86.7762673
38.895111799999995,-77.0363658
39.952335,-75.16378900000001
44.4488805,-88.0603806
44.9799654,-93.26383609999999
41.2938889,-92.6444444
30.4382559,-84.2807329
36.114646,-115.172816
33.414768,-111.90930949999999
33.414768,-111.90930949999999
33.414768,-111.90930949999999
33.1958696,-117.3794834
33.8752935,-117.56643840000001
30.4382559,-84.2807329
33.494170399999994,-111.9260519
33.4483771,-112.07403729999999
33.4483771,-112.07403729999999
34.0522342,-118.24368490000002
32.7153292,-117.1572551
34.0900091,-117.89033970000001
40.7139898,-73.5590157
41.4901024,-71.31282850000001
40.715972,-74.001437
40.715972,-74.001437
38.6910138,-121.4485654
18.3574502,-66.1109998
39.106448799999995,-84.478831
40.740389,-73.983385
28.5383355,-81.3792365
32.273202399999995,-89.9859158
32.8809603,-97.155012
33.414768,-111.90930949999999
39.7683765,-86.15804229999999
32.802955,-96.76992299999999
30.267153000000004,-97.7430608
37.6922361,-97.3375448
35.2270869,-80.8431267
37.839333200000006,-84.2700179
33.4355977,-112.3496021
35.96063839999999,-83.9207392
33.4483771,-112.07403729999999
32.8795022,-111.75735209999999
42.194542999999996,-71.19949759999999
33.494170399999994,-111.9260519
36.114646,-115.172816
33.3061605,-111.8412502
33.3061605,-111.8412502
46.0645809,-118.3430209
33.494170399999994,-111.9260519
33.3528264,-111.789027
37.562991700000005,-122.32552539999999
34.048928100000005,-111.0937311
33.4483771,-112.07403729999999
33.414768,-111.90930949999999
37.548269700000006,-121.98857190000001
32.2217429,-110.926479
33.3061605,-111.8412502
33.3528264,-111.789027
28.5383355,-81.3792365
33.4222685,-111.8226402
33.3528264,-111.789027
43.0389025,-87.9064736
28.5383355,-81.3792365
38.895111799999995,-77.0363658
31.968598800000002,-99.9018131
37.7141454,-122.25
41.3556539,-72.0995209
34.1705609,-118.83759369999999
-34.6084175,-58.3731613
40.7143528,-74.00597309999999
33.835849200000006,-118.34062879999999
47.735928,-122.6465372
38.7071247,-121.2810611
34.1477849,-118.1445155
34.0900091,-117.89033970000001
33.6839473,-117.79469420000001
33.4483771,-112.07403729999999
37.6940973,-122.08635220000001
43.0389025,-87.9064736
44.8046825,-91.44321479999999
32.2217429,-110.926479
33.4483771,-112.07403729999999
36.7682088,-76.2874927
39.203,-76.85798100000001
39.2903848,-76.6121893
28.5383355,-81.3792365
38.9906657,-77.026088
30.8327022,-83.2784851
37.1289771,-84.08326459999999
38.7073379,-77.0230313
36.114646,-115.172816
